Edad,Género,Estado Civil al momento de ingresar a la Universidad,Nacionalidad,Provincia donde reside,Indique la región de la cual viene,Indique el promedio con el que ingresó a la Universidad,Edad de ingreso a la universidad,Carrera en la que estudia,Puede indicarnos las razones por las cuales usted ingresó a esta carrera,Categorías de las razones de ingreso a carrera,¿Sabía de la carrera antes que entrara a la universidad?,Nivel actual de la carrera,¿Tuvo motivación familiar para ingresar a la carrera?,¿Tiene en su círculo cercano de amistades o conocidos alguien que estudiara una carrera similar o la misma carrera que usted escogió?,¿Tuvo motivación por los profesores de secundaria para escoger la carrera?,Puede indicarnos acerca de factores externos que influyeran en su selección de carrera,Su colegio era:,¿Cuál fue su emoción al ingresar a la carrera?,¿Sabía usted al momento de ingresar a la carrera que existían diferentes oportunidades de becas en la UNA?,¿Tiene actualmente o tuvo una beca universitaria?,¿Usted al ingresar a la universidad estaba trabajando?,Nivel escolar de su madre,Nivel escolar de su padre,¿Cuáles fueron los factores por los cuales ingresó a la UNA?,Categorías de los factores de ingreso a la UNA
21,Agenero,Soltero (a),Costarricense,Heredia,Urbana,,19,Ingeniería en sistemas de la información,Me apaciona la informatica,Otros,Sí,Segundo,Sí,Sí,No,,CTP público,Felicidad,Sí,Sí,No,Secundaria incompleta,Bachillerato Universitario,Estaba cerca,Cercanía Geográfica
20,Hombre,Soltero (a),Costarricense,Heredia,Urbana,,17,Economía,"Me gustaban los números, gráficos y el analisis",Interés personal,Sí,Cuarto,Sí,Sí,No,,Privado,"Felicidad,Ansiedad,Entusiasmo",Sí,No,No,Bachillerato Universitario,Bachillerato Universitario,"Cercanía, buenos comentarios sobre la universidad ",Cercanía Geográfica_Reputación
21,Hombre,Soltero (a),Costarricense,San José,Urbana,90,18,Economía,Me gusta la economía y ya tenia el técnico en contabilidad,Interés personal_Experiencia académica previa_Afinidad con la materia,Sí,Cuarto,No,No,No,Salario,CTP público,"Felicidad,Entusiasmo",Sí,Sí,No,Secundaria,No se,No entre a la UCR,Otros
22,Hombre,Soltero (a),Costarricense,Heredia,Urbana,,19,Ingeniería en sistemas de la información,Por gusto y porque tiene buena salida laboral,Interés personal_Amplia oportunidad laboral,Sí,Segundo,Sí,Sí,No,El estar en la pandemia y teniendo una computadora a la mano,Semiprivado,Ansiedad,Sí,Sí,No,Secundaria,Secundaria,Cercanía y comodidad,Cercanía Geográfica
24,Hombre,Soltero (a),Costarricense,Alajuela,Rural,,20,Ingeniería en sistemas de la información,Carrera con alta demanda laboral,Amplia oportunidad laboral,Sí,Cuarto,Sí,Sí,No,,Público Académico (Liceo),"Felicidad,Entusiasmo",Sí,Sí,Sí,Secundaria incompleta,Secundaria,Me admitieron en la carrera,Admisión a la carrera
20,Hombre,Soltero (a),Costarricense,Alajuela,Rural,,17,Economía,Porque me gusta la matemática,Interés personal,No,Cuarto,Sí,No,No,Test vocacional,Bilingue,Miedo,Sí,Sí,No,Secundaria,Primaria,No sé,Otros
28,Hombre,Soltero (a),Costarricense,San José,Urbana,,22,Ingeniería en sistemas de la información,Me gusta la informatica,Interés personal,Sí,Tercero,Sí,Sí,No,,Público Académico (Liceo),"Felicidad,Entusiasmo",Sí,Sí,No,Secundaria,Bachillerato Universitario,Mejor futuro,Proyecciones económicas
21,Hombre,Soltero (a),Costarricense,San José,Urbana,84,18,Ingeniería en sistemas de la información,Me gustan los temas que se ven.,Interés personal,Sí,Cuarto,No,No,No,,Semiprivado,"Felicidad,Ansiedad",Sí,Sí,No,Maestría,Licenciatura,Me gusta el ambiente.,Interés personal
21,Hombre,Soltero (a),Costarricense,Heredia,Urbana,,18,Ingeniería en sistemas de la información,Futuro y salidas laborares,Amplia oportunidad laboral,No,Segundo,Sí,Sí,No,,Semiprivado,"Felicidad,Miedo,Ansiedad",Sí,No,No,Secundaria,Técnico,Tenía la carrera que quería y estaba cerca de mi casa,Cercanía Geográfica_Interés personal
21,Hombre,Soltero (a),Costarricense,Heredia,Urbana,90,18,Ingeniería en sistemas de la información,"Dinero, recomendacion familiar",Proyecciones económicas_Recomendaciones,Sí,Cuarto,Sí,Sí,Si,Familia,Semiprivado,"Felicidad,Ansiedad",Sí,Sí,No,Bachillerato Universitario,Bachillerato Universitario,Cercanía,Cercanía Geográfica
